STATE_FIPS_CODE,STATE_ALPHA,STATE_NAME,size,practice,operations,acres,total_ops,total_acres,ops_adopt,acres_adopt
26,MI,MICHIGAN,All Farms,No Till,8174,1566334,47641,9764090,0.17157490396927016,0.16041781671410238
27,MN,MINNESOTA,All Farms,No Till,5815,1091337,68822,25516982,0.08449333062102235,0.042769046903744334
27,MN,MINNESOTA,All Farms,No Till,5815,1091337,68822,25516982,0.08449333062102235,0.042769046903744334
28,MS,MISSISSIPPI,All Farms,No Till,2044,637181,34988,10415136,0.05842002972447696,0.061178365793783204
28,MS,MISSISSIPPI,All Farms,No Till,2044,637181,34988,10415136,0.05842002972447696,0.061178365793783204
29,MO,MISSOURI,All Farms,No Till,14555,4644778,95320,27781883,0.15269618128409568,0.16718729972334848
29,MO,MISSOURI,All Farms,No Till,14555,4644778,95320,27781883,0.15269618128409568,0.16718729972334848
30,MT,MONTANA,All Farms,No Till,4106,8050902,27048,58122878,0.1518041999408459,0.13851519878282695
30,MT,MONTANA,All Farms,No Till,4106,8050902,27048,58122878,0.1518041999408459,0.13851519878282695
31,NE,NEBRASKA,All Farms,No Till,17389,10256995,46332,44986821,0.375312958646292,0.22799999582099834
31,NE,NEBRASKA,All Farms,No Till,17389,10256995,46332,44986821,0.375312958646292,0.22799999582099834
32,NV,NEVADA,All Farms,No Till,218,19480,3423,6128153,0.06368682442302075,0.0031787718093853074
32,NV,NEVADA,All Farms,No Till,218,19480,3423,6128153,0.06368682442302075,0.0031787718093853074
33,NH,NEW HAMPSHIRE,All Farms,No Till,321,4714,4123,425393,0.07785593014795052,0.011081517561407921
33,NH,NEW HAMPSHIRE,All Farms,No Till,321,4714,4123,425393,0.07785593014795052,0.011081517561407921
34,NJ,NEW JERSEY,All Farms,No Till,1268,104499,9883,734084,0.12830112314074674,0.14235291873954478
34,NJ,NEW JERSEY,All Farms,No Till,1268,104499,9883,734084,0.12830112314074674,0.14235291873954478
35,NM,NEW MEXICO,All Farms,No Till,1338,138401,25044,40659836,0.053425970292285574,0.0034038750180891038
35,NM,NEW MEXICO,All Farms,No Till,1338,138401,25044,40659836,0.053425970292285574,0.0034038750180891038
36,NY,NEW YORK,All Farms,No Till,3517,337968,33438,6866171,0.10517973563012142,0.04922219385447872
36,NY,NEW YORK,All Farms,No Till,3517,337968,33438,6866171,0.10517973563012142,0.04922219385447872
37,NC,NORTH CAROLINA,All Farms,No Till,7222,1909178,46418,8430522,0.15558619501055626,0.2264602357956008
37,NC,NORTH CAROLINA,All Farms,No Till,7222,1909178,46418,8430522,0.15558619501055626,0.2264602357956008
38,ND,NORTH DAKOTA,All Farms,No Till,5548,7778463,26364,39341591,0.21043847671066607,0.19771602526191684
38,ND,NORTH DAKOTA,All Farms,No Till,5548,7778463,26364,39341591,0.21043847671066607,0.19771602526191684
39,OH,OHIO,All Farms,No Till,20537,4268627,77805,13965295,0.2639547586916008,0.3056596369786675
39,OH,OHIO,All Farms,No Till,20537,4268627,77805,13965295,0.2639547586916008,0.3056596369786675
40,OK,OKLAHOMA,All Farms,No Till,4778,2095324,78531,34156290,0.060842215176172464,0.06134518707974432
40,OK,OKLAHOMA,All Farms,No Till,4778,2095324,78531,34156290,0.060842215176172464,0.06134518707974432
41,OR,OREGON,All Farms,No Till,2502,996510,37616,15962322,0.0665142492556359,0.06242888722580587
41,OR,OREGON,All Farms,No Till,2502,996510,37616,15962322,0.0665142492556359,0.06242888722580587
42,PA,PENNSYLVANIA,All Farms,No Till,14295,1611121,53157,7278668,0.2689203679665895,0.2213483291173605
42,PA,PENNSYLVANIA,All Farms,No Till,14295,1611121,53157,7278668,0.2689203679665895,0.2213483291173605
44,RI,RHODE ISLAND,All Farms,No Till,101,864,1043,56864,0.09683604985618409,0.015194147439504783
44,RI,RHODE ISLAND,All Farms,No Till,101,864,1043,56864,0.09683604985618409,0.015194147439504783
45,SC,SOUTH CAROLINA,All Farms,No Till,2535,617919,24791,4744913,0.10225485055060304,0.1302276775148459
45,SC,SOUTH CAROLINA,All Farms,No Till,2535,617919,24791,4744913,0.10225485055060304,0.1302276775148459
46,SD,SOUTH DAKOTA,All Farms,No Till,7774,7656188,29968,43243742,0.25941003737319807,0.1770473054806404
46,SD,SOUTH DAKOTA,All Farms,No Till,7774,7656188,29968,43243742,0.25941003737319807,0.1770473054806404
47,TN,TENNESSEE,All Farms,No Till,6361,2342696,69983,10874238,0.09089350270780047,0.21543541717589776
47,TN,TENNESSEE,All Farms,No Till,6361,2342696,69983,10874238,0.09089350270780047,0.21543541717589776
48,TX,TEXAS,All Farms,No Till,8384,2423028,248416,127036184,0.03374983897977586,0.01907352632695579
48,TX,TEXAS,All Farms,No Till,8384,2423028,248416,127036184,0.03374983897977586,0.01907352632695579
49,UT,UTAH,All Farms,No Till,920,65470,18409,10811604,0.049975555434841654,0.0060555307057121215
49,UT,UTAH,All Farms,No Till,920,65470,18409,10811604,0.049975555434841654,0.0060555307057121215
50,VT,VERMONT,All Farms,No Till,502,28290,6808,1193437,0.07373678025851939,0.023704644652377965
50,VT,VERMONT,All Farms,No Till,502,28290,6808,1193437,0.07373678025851939,0.023704644652377965
51,VA,VIRGINIA,All Farms,No Till,5209,1021330,43225,7797979,0.12050896471949103,0.1309736792058558
51,VA,VIRGINIA,All Farms,No Till,5209,1021330,43225,7797979,0.12050896471949103,0.1309736792058558
53,WA,WASHINGTON,All Farms,No Till,2403,1174102,35793,14679857,0.06713603218506412,0.07998047937387946
53,WA,WASHINGTON,All Farms,No Till,2403,1174102,35793,14679857,0.06713603218506412,0.07998047937387946
54,WV,WEST VIRGINIA,All Farms,No Till,1201,68191,23622,3662178,0.05084243501820337,0.01862034013638878
54,WV,WEST VIRGINIA,All Farms,No Till,1201,68191,23622,3662178,0.05084243501820337,0.01862034013638878
55,WI,WISCONSIN,All Farms,No Till,14665,2227504,64793,14318630,0.22633617829086475,0.15556683844753305
55,WI,WISCONSIN,All Farms,No Till,14665,2227504,64793,14318630,0.22633617829086475,0.15556683844753305
56,WY,WYOMING,All Farms,No Till,575,150102,11938,29004884,0.04816552186295862,0.005175059483085677
56,WY,WYOMING,All Farms,No Till,575,150102,11938,29004884,0.04816552186295862,0.005175059483085677
1,AL,ALABAMA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,623,2551,3633,18039,0.17148362235067438,0.14141582127612395
1,AL,ALABAMA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,623,2551,3633,18039,0.17148362235067438,0.14141582127612395
2,AK,ALASKA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,64,NA,428,1341,0.14953271028037382,NA
2,AK,ALASKA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,64,NA,428,1341,0.14953271028037382,NA
4,AZ,ARIZONA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,924,NA,9436,25840,0.09792284866468842,NA
4,AZ,ARIZONA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,924,NA,9436,25840,0.09792284866468842,NA
5,AR,ARKANSAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,305,1016,2520,13516,0.12103174603174603,0.07517016868896123
5,AR,ARKANSAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,305,1016,2520,13516,0.12103174603174603,0.07517016868896123
6,CA,CALIFORNIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2432,6679,23400,94353,0.10393162393162393,0.07078736235201849
6,CA,CALIFORNIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2432,6679,23400,94353,0.10393162393162393,0.07078736235201849
8,CO,COLORADO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,795,2447,6404,30185,0.12414116177389131,0.08106675501076693
8,CO,COLORADO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,795,2447,6404,30185,0.12414116177389131,0.08106675501076693
9,CT,CONNECTICUT,FARM AREA: (1.0 TO 9.9 ACRES),No Till,326,NA,1765,8395,0.18470254957507082,NA
9,CT,CONNECTICUT,FARM AREA: (1.0 TO 9.9 ACRES),No Till,326,NA,1765,8395,0.18470254957507082,NA
10,DE,DELAWARE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,77,368,380,1747,0.2026315789473684,0.21064682312535776
10,DE,DELAWARE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,77,368,380,1747,0.2026315789473684,0.21064682312535776
12,FL,FLORIDA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1222,3629,14072,65031,0.08683911313246162,0.055804154941489444
12,FL,FLORIDA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1222,3629,14072,65031,0.08683911313246162,0.055804154941489444
13,GA,GEORGIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,794,2649,4516,22762,0.1758193091231178,0.11637817414989896
13,GA,GEORGIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,794,2649,4516,22762,0.1758193091231178,0.11637817414989896
15,HI,HAWAII,FARM AREA: (1.0 TO 9.9 ACRES),No Till,597,1523,4868,18286,0.12263763352506163,0.08328776112873236
15,HI,HAWAII,FARM AREA: (1.0 TO 9.9 ACRES),No Till,597,1523,4868,18286,0.12263763352506163,0.08328776112873236
16,ID,IDAHO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,351,1143,6673,32421,0.052600029971527046,0.03525492736189507
16,ID,IDAHO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,351,1143,6673,32421,0.052600029971527046,0.03525492736189507
17,IL,ILLINOIS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1866,9281,7992,40961,0.2334834834834835,0.22658138229047142
17,IL,ILLINOIS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1866,9281,7992,40961,0.2334834834834835,0.22658138229047142
18,IN,INDIANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1489,6841,7622,40400,0.19535554972448177,0.16933168316831684
18,IN,INDIANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1489,6841,7622,40400,0.19535554972448177,0.16933168316831684
19,IA,IOWA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1321,6306,9120,45875,0.14484649122807017,0.13746049046321526
19,IA,IOWA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1321,6306,9120,45875,0.14484649122807017,0.13746049046321526
20,KS,KANSAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,603,2962,2665,13117,0.22626641651031895,0.22581382938171837
20,KS,KANSAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,603,2962,2665,13117,0.22626641651031895,0.22581382938171837
21,KY,KENTUCKY,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1771,7201,6211,33216,0.2851392690388021,0.21679311175337188
21,KY,KENTUCKY,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1771,7201,6211,33216,0.2851392690388021,0.21679311175337188
22,LA,LOUISIANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,373,1188,3735,19791,0.0998661311914324,0.06002728512960437
22,LA,LOUISIANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,373,1188,3735,19791,0.0998661311914324,0.06002728512960437
23,ME,MAINE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,428,NA,1427,5939,0.2999299229152067,NA
23,ME,MAINE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,428,NA,1427,5939,0.2999299229152067,NA
24,MD,MARYLAND,FARM AREA: (1.0 TO 9.9 ACRES),No Till,596,2306,2244,11662,0.26559714795008915,0.19773623735208368
24,MD,MARYLAND,FARM AREA: (1.0 TO 9.9 ACRES),No Till,596,2306,2244,11662,0.26559714795008915,0.19773623735208368
25,MA,MASSACHUSETTS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,506,NA,2373,NA,0.21323219553308048,NA
25,MA,MASSACHUSETTS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,506,NA,2373,NA,0.21323219553308048,NA
26,MI,MICHIGAN,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1324,5158,5154,23780,0.25688785409390763,0.2169049621530698
26,MI,MICHIGAN,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1324,5158,5154,23780,0.25688785409390763,0.2169049621530698
27,MN,MINNESOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,902,3685,5234,26402,0.1723347344287352,0.13957275963942126
27,MN,MINNESOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,902,3685,5234,26402,0.1723347344287352,0.13957275963942126
28,MS,MISSISSIPPI,FARM AREA: (1.0 TO 9.9 ACRES),No Till,527,1978,2237,11588,0.23558337058560572,0.17069382119433898
28,MS,MISSISSIPPI,FARM AREA: (1.0 TO 9.9 ACRES),No Till,527,1978,2237,11588,0.23558337058560572,0.17069382119433898
29,MO,MISSOURI,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1092,4831,5574,28527,0.19590958019375673,0.16934833666351176
29,MO,MISSOURI,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1092,4831,5574,28527,0.19590958019375673,0.16934833666351176
30,MT,MONTANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,195,716,2516,11462,0.07750397456279809,0.0624672831966498
30,MT,MONTANA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,195,716,2516,11462,0.07750397456279809,0.0624672831966498
31,NE,NEBRASKA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,507,2355,3385,15950,0.14977843426883308,0.14764890282131662
31,NE,NEBRASKA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,507,2355,3385,15950,0.14977843426883308,0.14764890282131662
32,NV,NEVADA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,79,225,825,3196,0.09575757575757576,0.07040050062578222
32,NV,NEVADA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,79,225,825,3196,0.09575757575757576,0.07040050062578222
33,NH,NEW HAMPSHIRE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,243,742,1081,4748,0.2247918593894542,0.15627632687447346
33,NH,NEW HAMPSHIRE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,243,742,1081,4748,0.2247918593894542,0.15627632687447346
34,NJ,NEW JERSEY,FARM AREA: (1.0 TO 9.9 ACRES),No Till,631,1975,2965,18653,0.21281618887015177,0.10588109151342948
34,NJ,NEW JERSEY,FARM AREA: (1.0 TO 9.9 ACRES),No Till,631,1975,2965,18653,0.21281618887015177,0.10588109151342948
35,NM,NEW MEXICO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,819,2260,8554,31107,0.09574468085106383,0.07265245764618897
35,NM,NEW MEXICO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,819,2260,8554,31107,0.09574468085106383,0.07265245764618897
36,NY,NEW YORK,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1163,4260,3641,17265,0.31941774237846743,0.2467419635099913
36,NY,NEW YORK,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1163,4260,3641,17265,0.31941774237846743,0.2467419635099913
37,NC,NORTH CAROLINA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1546,5569,5112,24239,0.3024256651017214,0.22975370271050785
37,NC,NORTH CAROLINA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1546,5569,5112,24239,0.3024256651017214,0.22975370271050785
38,ND,NORTH DAKOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,101,491,571,2430,0.17688266199649738,0.20205761316872428
38,ND,NORTH DAKOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,101,491,571,2430,0.17688266199649738,0.20205761316872428
39,OH,OHIO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2636,12148,10333,53998,0.25510500338720604,0.2249712952331568
39,OH,OHIO,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2636,12148,10333,53998,0.25510500338720604,0.2249712952331568
40,OK,OKLAHOMA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,507,1904,4853,24707,0.10447146095198846,0.07706318047516898
40,OK,OKLAHOMA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,507,1904,4853,24707,0.10447146095198846,0.07706318047516898
41,OR,OREGON,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1250,3667,12536,62421,0.09971282705807274,0.058746255266657055
41,OR,OREGON,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1250,3667,12536,62421,0.09971282705807274,0.058746255266657055
42,PA,PENNSYLVANIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2565,11400,6481,29433,0.39577225736769017,0.3873203547039038
42,PA,PENNSYLVANIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2565,11400,6481,29433,0.39577225736769017,0.3873203547039038
44,RI,RHODE ISLAND,FARM AREA: (1.0 TO 9.9 ACRES),No Till,77,NA,379,NA,0.20316622691292877,NA
44,RI,RHODE ISLAND,FARM AREA: (1.0 TO 9.9 ACRES),No Till,77,NA,379,NA,0.20316622691292877,NA
45,SC,SOUTH CAROLINA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,786,2939,3289,17053,0.23897841289145638,0.17234504192810648
45,SC,SOUTH CAROLINA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,786,2939,3289,17053,0.23897841289145638,0.17234504192810648
46,SD,SOUTH DAKOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,211,964,1237,6103,0.17057396928051738,0.1579551040471899
46,SD,SOUTH DAKOTA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,211,964,1237,6103,0.17057396928051738,0.1579551040471899
47,TN,TENNESSEE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1472,5451,5803,30960,0.25366189901774944,0.17606589147286822
47,TN,TENNESSEE,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1472,5451,5803,30960,0.25366189901774944,0.17606589147286822
48,TX,TEXAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2534,9183,27889,148099,0.09086019577611244,0.06200582043092796
48,TX,TEXAS,FARM AREA: (1.0 TO 9.9 ACRES),No Till,2534,9183,27889,148099,0.09086019577611244,0.06200582043092796
49,UT,UTAH,FARM AREA: (1.0 TO 9.9 ACRES),No Till,484,1658,6181,28766,0.07830448147548941,0.05763748870193979
49,UT,UTAH,FARM AREA: (1.0 TO 9.9 ACRES),No Till,484,1658,6181,28766,0.07830448147548941,0.05763748870193979
50,VT,VERMONT,FARM AREA: (1.0 TO 9.9 ACRES),No Till,263,NA,874,3502,0.3009153318077803,NA
50,VT,VERMONT,FARM AREA: (1.0 TO 9.9 ACRES),No Till,263,NA,874,3502,0.3009153318077803,NA
51,VA,VIRGINIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1155,4162,4595,23169,0.2513601741022851,0.17963658336570418
51,VA,VIRGINIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1155,4162,4595,23169,0.2513601741022851,0.17963658336570418
53,WA,WASHINGTON,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1034,2888,11523,54623,0.08973357632560965,0.052871501016055505
53,WA,WASHINGTON,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1034,2888,11523,54623,0.08973357632560965,0.052871501016055505
54,WV,WEST VIRGINIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,525,1793,1928,10223,0.27230290456431533,0.17538882911082854
54,WV,WEST VIRGINIA,FARM AREA: (1.0 TO 9.9 ACRES),No Till,525,1793,1928,10223,0.27230290456431533,0.17538882911082854
55,WI,WISCONSIN,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1823,8655,5923,29348,0.30778321796386965,0.29490936350006813
55,WI,WISCONSIN,FARM AREA: (1.0 TO 9.9 ACRES),No Till,1823,8655,5923,29348,0.30778321796386965,0.29490936350006813
56,WY,WYOMING,FARM AREA: (1.0 TO 9.9 ACRES),No Till,96,451,1168,5233,0.0821917808219178,0.0861838333651825
56,WY,WYOMING,FARM AREA: (1.0 TO 9.9 ACRES),No Till,96,451,1168,5233,0.0821917808219178,0.0861838333651825
1,AL,ALABAMA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,790,18718,12637,341902,0.0625148373822901,0.05474668179770811
1,AL,ALABAMA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,790,18718,12637,341902,0.0625148373822901,0.05474668179770811
2,AK,ALASKA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,21,484,236,5325,0.08898305084745763,0.09089201877934272
2,AK,ALASKA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,21,484,236,5325,0.08898305084745763,0.09089201877934272
4,AZ,ARIZONA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,183,3416,3753,79291,0.04876099120703437,0.0430818125638471
4,AZ,ARIZONA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,183,3416,3753,79291,0.04876099120703437,0.0430818125638471
5,AR,ARKANSAS,FARM AREA: (10.0 TO 49.9 ACRES),No Till,499,13484,10404,287840,0.04796232218377547,0.046845469705391884
5,AR,ARKANSAS,FARM AREA: (10.0 TO 49.9 ACRES),No Till,499,13484,10404,287840,0.04796232218377547,0.046845469705391884
6,CA,CALIFORNIA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,814,18084,21756,499981,0.03741496598639456,0.03616937443622858
6,CA,CALIFORNIA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,814,18084,21756,499981,0.03741496598639456,0.03616937443622858
8,CO,COLORADO,FARM AREA: (10.0 TO 49.9 ACRES),No Till,833,19900,11579,330864,0.07194058208826323,0.060145558295855696
8,CO,COLORADO,FARM AREA: (10.0 TO 49.9 ACRES),No Till,833,19900,11579,330864,0.07194058208826323,0.060145558295855696
9,CT,CONNECTICUT,FARM AREA: (10.0 TO 49.9 ACRES),No Till,97,2010,2152,49951,0.04507434944237918,0.04023943464595303
9,CT,CONNECTICUT,FARM AREA: (10.0 TO 49.9 ACRES),No Till,97,2010,2152,49951,0.04507434944237918,0.04023943464595303
10,DE,DELAWARE,FARM AREA: (10.0 TO 49.9 ACRES),No Till,186,4967,903,21121,0.2059800664451827,0.23516878935656454
10,DE,DELAWARE,FARM AREA: (10.0 TO 49.9 ACRES),No Till,186,4967,903,21121,0.2059800664451827,0.23516878935656454
12,FL,FLORIDA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,452,10021,19696,433331,0.022948822095857028,0.023125509137356892
12,FL,FLORIDA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,452,10021,19696,433331,0.022948822095857028,0.023125509137356892
13,GA,GEORGIA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,744,17643,13444,352342,0.05534067241892294,0.05007350812562794
13,GA,GEORGIA,FARM AREA: (10.0 TO 49.9 ACRES),No Till,744,17643,13444,352342,0.05534067241892294,0.05007350812562794
15,HI,HAWAII,FARM AREA: (10.0 TO 49.9 ACRES),No Till,64,1177,1693,34353,0.03780271707028943,0.03426192763368556
15,HI,HAWAII,FARM AREA: (10.0 TO 49.9 ACRES),No Till,64,1177,1693,34353,0.03780271707028943,0.03426192763368556
16,ID,IDAHO,FARM AREA: (10.0 TO 49.9 ACRES),No Till,275,6553,7337,164793,0.037481259370314844,0.03976503856353122
16,ID,IDAHO,FARM AREA: (10.0 TO 49.9 ACRES),No Till,275,6553,7337,164793,0.037481259370314844,0.03976503856353122
